review_text,rating,verified_purchase,fake_review,review_length,sentiment_score,sentiment_intensity,sentiment_positive,sentiment_negative,sentiment_neutral,suspicious_word_count,uppercase_word_count,exclamation_count,cleaned_review_text
"My experience has been simple overall, though i like parts of it, but the finish could be better. I noticed a couple of small quirks, but nothing deal-breaking. I would still recommend it for everyday use.",5,1,Real,36,0.0,0.8338,0.234,0.0,0.766,0,0,0,experi simpl overal though like part finish could better. notic coupl small quirk noth deal breaking. would still recommend everyday use.
"I wanted something reliable and comfortable overall, though i like parts of it, but the finish could be better. The value is decent even though it is not the cheapest option. The value is decent for the price point. Sure, it is perfect in the same way traffic is relaxing.!",2,0,Real,50,0.02,0.9692,0.352,0.0,0.648,1,0,1,want someth reliabl comfort overal though like part finish could better. valu decent even though not cheapest option. valu decent price point. sure perfect way traffic relaxing.!
"I have used this product for simple overall, though the core idea works, but the details are a bit messy. Setup took a few minutes longer than I expected. It is okay, but the hype is a little much. yeah, because everything is always perfect",4,0,Real,45,-0.0222222222222222,0.7602,0.2,0.066,0.734,1,0,0,simpl overal though core idea work detail bit messy. setup took minut longer expected. okay hype littl much. yeah everyth alway perfect
"I have used this product for simple overall, though i would rate it higher if the instructions were clearer. Setup took a few minutes longer than I expected. It does what I need without much fuss. Apparently every product has to be a life changer now.",1,0,Real,46,0.0,0.0,0.0,0.0,1.0,0,0,0,simpl overal though would rate higher instruct clearer. setup took minut longer expected. need without much fuss. appar everi life changer now.
"My experience has been solid overall. I noticed a couple of small quirks, but nothing deal-breaking. It is okay, but the hype is a little much. best ever? not really, just usable.",2,1,Real,32,0.03125,0.8415,0.258,0.0,0.742,1,0,0,experi solid overall. notic coupl small quirk noth deal breaking. okay hype littl much. best ever? not realli usable.
"The delivery was on time and i have no strong feelings either way. Setup took a few minutes longer than I expected. It does what I need without much fuss. best ever? not really, just usable.!",3,1,Real,36,0.0,-0.3736,0.086,0.154,0.76,1,0,1,deliveri time no strong feel either way. setup took minut longer expected. need without much fuss. best ever? not realli usable.!
"This changed everything!!!. best choice i have made in a while i keep recommending it because the value is unbelievable. Some details were disappointing, but the overall experience was excellent. absolutely amazing, if you ignore the obvious issues buy now for the best deal.",1,0,Fake,44,0.0,0.9624,0.376,0.087,0.537,2,0,3,chang everything!!. best choic made keep recommend valu unbelievable. detail disappoint overal experi excellent. absolut amaz ignor obviou issu best deal.
This product is unbelievable!!!. Absolutely incredible and surprisingly useful. Discount best ever and fantastic top quality. The product feels premium and absolutely worth the hype.!,3,0,Fake,25,0.12,0.954,0.491,0.0,0.509,5,0,4,unbelievable!!. absolut incred surprisingli useful. discount best ever fantast top quality. feel premium absolut worth hype.!
"The delivery was on time and useful overall, though the core idea works, but the details are a bit messy. I noticed a couple of small quirks, but nothing deal-breaking. I would buy it again if I needed another one.",4,1,Real,40,0.0,-0.3182,0.051,0.085,0.864,0,0,0,deliveri time use overal though core idea work detail bit messy. notic coupl small quirk noth deal breaking. would need anoth one.
"My experience has been useful overall. The packaging was ordinary but acceptable. I would still recommend it for everyday use. The promo wording felt a little excessive, but the item still worked. Sure, it is perfect in the same way traffic is relaxing.",5,1,Real,43,0.0232558139534883,0.9659,0.369,0.0,0.631,2,0,0,experi use overall. packag ordinari acceptable. would still recommend everyday use. promo word felt littl excess still worked. sure perfect way traffic relaxing.
"This has been part of my daily routine and the experience was fine overall. Setup took a few minutes longer than I expected. Overall it feels dependable and practical. The promo wording felt a little excessive, but the item still worked. absolutely amazing, if you ignore the obvious issues",2,0,Real,49,-0.0204081632653061,0.5844,0.132,0.061,0.807,1,0,0,part daili routin experi fine overall. setup took minut longer expected. overal feel depend practical. promo word felt littl excess still worked. absolut amaz ignor obviou issu
"This has been part of my daily routine and useful at first, but there is a good product here, just not a perfect one. nothing major stood out during use. absolutely amazing, if you ignore the obvious issues. The value is decent for the price point.",3,1,Real,46,0.0217391304347826,0.807,0.243,0.121,0.636,1,0,0,part daili routin use first good not perfect one. noth major stood use. absolut amaz ignor obviou issues. valu decent price point.
My experience has been nothing major stood out during use. The value is decent even though it is not the cheapest option. I would still recommend it for everyday use.,4,1,Real,30,-0.0333333333333333,0.5994,0.154,0.0,0.846,0,0,0,experi noth major stood use. valu decent even though not cheapest option. would still recommend everyday use.
"Superb deal!!!, but there is a good product here, just not a perfect one this is the best deal i have seen this year The packaging was ordinary but acceptable incredible if you want value maybe it is not perfect, but the promo is real Some details were disappointing, but the overall experience was excellent",3,0,Fake,55,0.0363636363636363,0.9236,0.321,0.154,0.526,3,0,3,superb deal!! good not perfect one best deal seen year packag ordinari accept incred want valu mayb not perfect promo real detail disappoint overal experi excel
"After a few weeks of use comfortable at first, but i like parts of it, but the finish could be better. it is a standard prodcut with a few trade-offs. yeah, because everything is always perfect. It does what I need without much fuss. best ever? not really, just usable. I guess this is what premium means these days.",3,1,Real,59,0.0338983050847457,0.9109,0.249,0.066,0.685,2,0,0,week comfort first like part finish could better. standard prodcut trade offs. yeah everyth alway perfect. need without much fuss. best ever? not realli usable. guess premium mean days.
Superb deal!!!. Amazing product with great results. Life Changing limited time offer and promo unbelievable. I keep recommending it because the value is unbelievable.,3,1,Fake,24,0.0416666666666666,0.9515,0.513,0.052,0.435,5,0,3,superb deal!!. amaz great results. life chang limit time offer promo unbelievable. keep recommend valu unbelievable.
"Must buy now!!!. The packaging was ordinary but acceptable. it arrived as expected and does the job. Still, I would highly recommend it for most people.!! absolutely amazing, if you ignore the obvious issues",3,0,Fake,34,-0.0294117647058823,0.9117,0.3,0.071,0.629,2,0,5,must now!!. packag ordinari acceptable. arriv expect job. still would highli recommend people.!! absolut amaz ignor obviou issu
"I am obsessed with this amazing item!!!. I noticed a couple of small quirks, but nothing deal-breaking. the experience was fine overall. Still, I would highly recommend it for most people.",3,0,Fake,31,0.0,0.8323,0.273,0.04,0.686,1,0,3,obsess amaz item!!. notic coupl small quirk noth deal breaking. experi fine overall. still would highli recommend people.
"Superb deal!!! The value is decent even though it is not the cheapest option it arrived as expected and does the job Still, I would highly recommend it for most people Sure, this was written by a real customer and not a promo script",4,0,Fake,44,-0.0227272727272727,0.9144,0.256,0.0,0.744,2,0,3,superb deal!! valu decent even though not cheapest option arriv expect job still would highli recommend peopl sure written real custom not promo script
"Superb deal!!!. The packaging was ordinary but acceptable. it is a standard product with a few trade-offs. Still, I would highly recommend it for most people.",4,1,Fake,26,0.0,0.8769,0.335,0.0,0.665,1,0,3,superb deal!!. packag ordinari acceptable. standard trade offs. still would highli recommend people.
I have used this product for the experience was fine overall. The packaging was ordinary but acceptable. The value is decent for the price point.,2,1,Real,25,0.0,0.7543,0.262,0.0,0.738,0,0,0,experi fine overall. packag ordinari acceptable. valu decent price point.
"Absolutely perfect!!!. Absolutely incredible and surprisingly useful. Fantastic top quality and buy now limited time offer. It is a must-have if you want instant results. Some details were disappointing, but the overall experience was excellent.!!",4,0,Fake,35,0.0571428571428571,0.631,0.241,0.088,0.671,5,0,5,absolut perfect!!. absolut incred surprisingli useful. fantast top qualiti limit time offer. must want instant results. detail disappoint overal experi excellent.!!
"This product is unbelievable!!!. Perfect quality and excellent value. Discount unbelievable and highly recommend buy now. The product feels premium and absolutely worth the hype. maybe it is not perfect, but the promo is real.",3,0,Fake,35,0.0857142857142857,0.8003,0.289,0.047,0.664,5,0,3,unbelievable!!. perfect qualiti excel value. discount unbeliev highli recommend now. feel premium absolut worth hype. mayb not perfect promo real.
"I am obsessed with this amazing item!!!, but it is useful, although not quite as amazing as advertised. the product feels premium and absolutely worth the hype. Setup took a few minutes longer than I expected. unbelievable if you want value.",3,1,Fake,41,0.073170731707317,0.9662,0.411,0.025,0.564,1,0,3,obsess amaz item!! use although not quit amaz advertised. feel premium absolut worth hype. setup took minut longer expected. unbeliev want value.
"Five stars all the way!!!, but there is a good product here, just not a perfect one. this is the best deal i have seen this year. The packaging was ordinary but acceptable. promo if you want value. maybe it is not perfect, but the promo is real. Totally organic praise, definitely not an ad.!",3,0,Fake,55,0.0181818181818181,0.9665,0.351,0.102,0.547,3,0,4,five star way!! good not perfect one. best deal seen year. packag ordinari acceptable. promo want value. mayb not perfect promo real. total organ prais definit not ad.!
Best purchase ever!!!. Amazing product with great results. Five Stars life changing and discount best ever. It is a must-have if you want instant results.,3,1,Fake,25,0.04,0.9611,0.493,0.0,0.507,5,0,3,best ever!!. amaz great results. five star life chang discount best ever. must want instant results.
I am obsessed with this amazing item!!!. Best choice I have made in a while. Best Ever discount and incredible top quality. The product feels premium and absolutely worth the hype.,5,0,Fake,31,0.064516129032258,0.9466,0.419,0.042,0.54,4,0,3,obsess amaz item!!. best choic made while. best ever discount incred top quality. feel premium absolut worth hype.
"Five stars all the way!!!. best choice i have made in a while the product feels premium and absolutely worth the hype. The delivery was slow, but the product is still amazing. absolutely amazing, if you ignore the obvious issues buy now for the best deal. The packaging was rough, but the item itself feels premium.",2,1,Fake,56,0.0,0.9639,0.293,0.045,0.662,2,0,3,five star way!!. best choic made feel premium absolut worth hype. deliveri slow still amazing. absolut amaz ignor obviou issu best deal. packag rough feel premium.
"Absolutely perfect!!!, but it is useful, although not quite as amazing as advertised i keep recommending it because the value is unbelievable I noticed a couple of small quirks, but nothing deal-breaking promo if you want value maybe it is not perfect, but the promo is real Totally organic praise, definitely not an ad",4,0,Fake,54,0.0185185185185185,0.9374,0.321,0.113,0.566,3,0,3,absolut perfect!! use although not quit amaz advertis keep recommend valu unbeliev notic coupl small quirk noth deal break promo want valu mayb not perfect promo real total organ prais definit not ad
"I am obsessed with this amazing item!!!. The value is decent even though it is not the cheapest option. i have no strong feelings either way. Still, I would highly recommend it for most people.",4,0,Fake,35,-0.0285714285714285,0.8825,0.306,0.091,0.604,1,0,3,obsess amaz item!!. valu decent even though not cheapest option. no strong feel either way. still would highli recommend people.
"Superb deal!!! The packaging was ordinary but acceptable the experience was fine overall Still, I would highly recommend it for most people This is still worth it and I would buy again maybe it is not perfect, but the promo is real Yeah, because nothing says honest review like shouting BUY NOW",4,1,Fake,52,0.0192307692307692,0.9025,0.299,0.109,0.592,4,2,3,superb deal!! packag ordinari accept experi fine overal still would highli recommend peopl still worth would mayb not perfect promo real yeah noth say honest like shout
"I wanted something reliable and practical overall. I noticed a couple of small quirks, but nothing deal-breaking. I would buy it again if I needed another one. It almost sounded sponsored in places, though the product was fine.!",5,1,Real,38,0.0263157894736842,0.0,0.0,0.0,1.0,1,0,1,want someth reliabl practic overall. notic coupl small quirk noth deal breaking. would need anoth one. almost sound sponsor place though fine.!
"For the price, this item it is a standard product with a few trade-offs The value is decent even though it is not the cheapest option Overall it feels dependable and practical",4,1,Real,32,-0.03125,0.34,0.076,0.0,0.924,0,0,0,price standard trade off valu decent even though not cheapest option overal feel depend practic
"This changed everything!!!. amazing product with great results i would definitely tell everyone to buy it now. The delivery was slow, but the product is still amazing. totally not overhyped at all buy now for the best deal. Not everything worked perfectly, although the result is still fantastic.",3,0,Fake,48,0.0,0.9639,0.346,0.067,0.587,4,0,3,chang everything!!. amaz great result would definit tell everyon now. deliveri slow still amazing. total not overhyp best deal. not everyth work perfectli although result still fantastic.
"I wanted something reliable and simple overall, though there is a good prodcut here, just not a perfect one The packaging was ordinary but acceptable It is okay, but the hype is a little much It almost sounded sponsored in places, though the prodcut was fine",2,0,Real,46,0.0434782608695652,0.7544,0.195,0.041,0.764,2,0,0,want someth reliabl simpl overal though good prodcut not perfect one packag ordinari accept okay hype littl much almost sound sponsor place though prodcut fine
